**** BEGIN LOGGING AT Mon May 30 21:27:01 2016

May 30 21:27:01 *	Now talking on #ieee-os
May 30 21:27:13 <sangi>	Hello :)
May 30 21:27:21 *	trisha (~Trish@45.124.247.94) has joined
May 30 21:28:06 <trisha>	Hi
May 30 21:28:30 <sangi>	Any doubts from previous session?
May 30 21:30:34 *	hrily (~hrily@106.77.60.95) has joined
May 30 21:30:53 *	shivani (~shivani@122.161.111.59) has joined
May 30 21:31:19 <trisha>	nope
May 30 21:33:08 <sangi>	Ok Let's start now :)
May 30 21:33:21 <sangi>	Today we'll discuss deadlock
May 30 21:33:47 <sangi>	Does anyone remember what I had told about deadlocks?
May 30 21:34:14 <sangi>	If so, can someone summarize what was told?
May 30 21:35:21 <sangi>	Okay. Deadlock is a condition where no process is able to make progress due to interlock created by the resources shared between processes.
May 30 21:35:42 <trisha>	a deadlock situation arises when say thread A had a lock of some common resource A and thread B has the lock of common resource B, but each want the other rcource
May 30 21:35:56 <trisha>	*resource
May 30 21:36:01 <sangi>	Cool! Thanks Trisha :)
May 30 21:36:41 <sangi>	So we all know that Synchronization provides a great mechanism to assist resource sharing. 
May 30 21:36:49 <sangi>	But the same can lead to deadlocks
May 30 21:36:59 <sangi>	How can deadlocks happen?
May 30 21:37:28 <sangi>	Four conditions when hold true simultaneously leads to deadlocks
May 30 21:37:36 <sangi>	1. Mutual Exclusion
May 30 21:38:10 <sangi>	At least one resource must be held in a non-sharable mode; If any other process requests this resource, then that process must wait for the resource to be released.
May 30 21:38:25 <sangi>	2. Hold and wait 
May 30 21:39:07 <sangi>	A process must be simultaneously holding at least one resource and waiting for at least one resource that is currently being held by some other process.
May 30 21:39:18 <sangi>	3. No preemption
May 30 21:39:44 <sangi>	hrily could you tell us what preemption is ? 
May 30 21:39:59 <sangi>	(w.r.t CPU scheduling)
May 30 21:41:20 <sangi>	Okay, preemption is a situation where a process can interrupt execution of another process and start its execution.
May 30 21:41:49 <sangi>	May be due to priority of the process / urgent need of execution etc..
May 30 21:42:06 <sangi>	Now the third condition is NO PREEMPTION
May 30 21:42:20 <sangi>	Once a process is holding a resource ( i.e. once its request has been granted ), then that resource cannot be taken away from that process until the process voluntarily releases it.
May 30 21:42:41 <sangi>	4. Circular Wait
May 30 21:44:02 <sangi>	As the name suggests, the set of processes in deadlock must exist such that every process is waiting for the next process to finish and the last process is waiting for the first
May 30 21:44:12 <shivani>	How is No Preemption different from mutual exclusion?
May 30 21:45:02 <sangi>	i.e a set P1 to Pn such that every Pi is waiting for P[(i+1)%(n+1)] to complete.
May 30 21:45:23 <sangi>	Good question! 
May 30 21:45:56 <sangi>	Mutual exclusion says that a resource can belong to only one process at a time
May 30 21:45:56 *	himadri (~himadripa@182.57.91.44) has joined
